"Brand","RepoOrDomain","UseCase","Platform","AspectRatio","QuantityTargetMonthly","StyleApproach","AssetTier","SourceLane","PromptBase","Status","GeneratedFile","Score","ReflectionNotes","Date","Variations"
"FrankX","frankx.ai-vercel-website","AI stack comparison matrix","LinkedIn, website","1:1","8","physical-system-infographic","B+C","codex-imagegen + code-overlay","Premium black-glass AI comparison matrix with blank seamless modules and selected route; exact labels added by overlay.","ready-template","","","Use FrankX physical-system prompt pattern from verified loop.","2026-07-02","3"
"FrankX","frankx.ai-vercel-website","Website and social compounding map","LinkedIn, website","16:9","6","physical-system-infographic","B+C","codex-imagegen + code-overlay","Content hub to authority to distribution to revenue to refresh loop using blank cards rails prisms and amber revenue modules.","ready-template","","","Best current FrankX wide strategy pattern.","2026-07-02","3"
"FrankX","frankx.ai-vercel-website","Creator revenue flywheel","Instagram, LinkedIn","9:16","6","physical-system-infographic","B+C","codex-imagegen + code-overlay","Vertical creator flywheel with research inputs content system distribution trust offer revenue and reinvestment rails.","ready-template","","","Phone-native format with exact overlay labels.","2026-07-02","3"
"SIS","Starlight-Intelligence-System","Intelligence protocol map","Website, LinkedIn","16:9","5","physical-system-infographic","B+C","codex-imagegen + code-overlay","Starlight intelligence protocol as a trusted system map with memory nodes governance rails and agent handoff paths; no text.","planned","","","","2026-07-02","3"
"SIS","Starlight-Intelligence-System","Agent memory architecture","LinkedIn","1:1","5","physical-system-infographic","B+C","codex-imagegen + code-overlay","Precise memory and orchestration architecture as physical modules with validation lights and no fake UI.","planned","","","","2026-07-02","3"
"Arcanea","arcanea-ai-app","Creative intelligence world poster","Website, social","16:9","6","brand-world-poster","B","codex-imagegen or grok-cli","Cinematic Arcanea studio where creators shape living worlds through luminous artifacts and craft tools; no text or logos.","planned","","","","2026-07-02","4"
"Arcanea","arcanea-ai-app","Creator forge carousel cover","Instagram, LinkedIn","1:1","6","brand-world-poster","B+C","codex-imagegen + overlay","Mythic but practical creator forge visual with blank artifact cards and studio workbench; exact title overlay later.","planned","","","","2026-07-02","4"
"GenCreator","gencreator.ai","Creator OS workflow","LinkedIn, website","16:9","6","creator-flywheel","B+C","codex-imagegen + code-overlay","Creator operating system from idea capture to production to publishing to analytics using blank modules and rails.","planned","","","","2026-07-02","3"
"GenCreator","gencreator.ai","Template/product proof","Website","16:9","4","product-proof","A+C","browser-capture + overlay","Use real product or template screenshots, not generated fake UI.","blocked-until-product-capture","","","Needs actual app/template capture.","2026-07-02","2"
"RealityArchitect","realityarchitect","Reality architecture map","Website, social","16:9","4","brand-world-poster","B+C","codex-imagegen + overlay","Reality design workbench with behavior systems decision paths and transformation architecture; no text.","planned","","","","2026-07-02","3"
"RealityArchitect","realityarchitect","Decision architecture matrix","LinkedIn","1:1","4","physical-system-infographic","B+C","codex-imagegen + code-overlay","Decision architecture matrix with blank tiles scenario paths and selected future route.","planned","","","","2026-07-02","3"
"AnimeLegends","AnimeLegends","Character consistency sheet","Social, production","1:1","6","character-mascot","B","grok-cli or codex-imagegen","AnimeLegends hero character lineup with consistent costume silhouette and clean world rules; no text.","planned","","","Needs reference lock before scale.","2026-07-02","4"
"AnimeLegends","AnimeLegends","Episode poster frame","YouTube, Instagram","9:16","6","brand-world-poster","B","grok-cli image-to-video source","Dramatic anime poster frame with one clear character beat and animation-friendly composition; no text.","planned","","","","2026-07-02","4"
"VibeClubs","unknown","Community energy poster","Instagram","4:5","3","brand-world-poster","B+C","codex-imagegen + overlay","Premium nightlife community energy without stock crowd cliches; exact event/community copy overlay later.","planned","","","Brand pack exists but repo/domain lane needs confirmation.","2026-07-02","3"
"AI-Architect / AI CoE","enterprise-ai-kit, frankx.ai, gencreator.ai","AI CoE operating model","LinkedIn, website","16:9","5","exact operating-model infographic","A+C","code-overlay + browser/product capture","Center of excellence operating model with governance, stack, enablement, proof and adoption lanes; exact text rendered by overlay.","planned","","","Needs central brand pack; use enterprise proof and avoid AI hype.","2026-07-02","3"
"AI-Architect / AI CoE","enterprise-ai-kit, frankx.ai, gencreator.ai","Board-level AI governance visual","LinkedIn","1:1","4","proof-led system map","B+C","codex-imagegen + code-overlay","Enterprise AI governance command table with blank modules, evidence rails, risk gates and operating cadence; no generated text.","planned","","","Claims must be source checked and exact overlays only.","2026-07-02","3"
"Agentic Income Network","agentic-income-network","Offer-to-automation revenue path","LinkedIn, X","1:1","5","revenue mechanism infographic","B+C","codex-imagegen + code-overlay","Trusted revenue mechanism from attention to offer to checkout to delivery to retention with blank modules and proof slots; no income claims.","planned","","","Avoid get-rich-quick aesthetics and unverifiable numbers.","2026-07-02","3"
"Agentic Income Network","agentic-income-network","Agentic income tool stack","Website, LinkedIn","16:9","4","tool stack map","A+C","browser-capture + overlay","Use real tool or repo screenshots when possible, composed into an exact stack map with captions.","blocked-until-proof-capture","","","Needs proof capture or real artifact source.","2026-07-02","2"
"Research and Mind Intelligence","research, mind, health intelligence repos","Research synthesis map","LinkedIn, website","16:9","5","evidence synthesis visual","B+C","codex-imagegen + exact citation overlay","Research synthesis lab with source cards, confidence rails, evidence grades and decision outputs; no generated claims or citations.","planned","","","High-stakes topics require current source verification and careful claims.","2026-07-02","3"
"Research and Mind Intelligence","research, mind, health intelligence repos","Mind system diagram","Instagram, LinkedIn","1:1","4","exact diagram","C","code-rendered diagram","Exact system diagram for attention, memory, habit or decision loops using brand-safe typography and no decorative neural filler.","planned","","","Use neural-cosmos only when it carries meaning, not decoration.","2026-07-02","3"
"Tooling / OSS Distribution","awesome-design-agent-skills, prompt-library, tooling repos","OSS install proof card","X, LinkedIn","1:1","6","real repo proof","A+C","browser-capture + code-overlay","Real GitHub/CLI proof card showing install path, before-after result and exact command snippets.","planned","","","No fake terminals or unverifiable badges.","2026-07-02","3"
"Tooling / OSS Distribution","awesome-design-agent-skills, prompt-library, tooling repos","Agent workflow diagram","Website, LinkedIn","16:9","5","exact workflow infographic","C","code-rendered diagram","Workflow diagram for prompt, skill, plugin, MCP, output and QA stages with exact labels.","planned","","","Use deterministic renderer for all labels and code snippets.","2026-07-02","3"

"FrankX","frankx.ai-vercel-website","Generated image for acos-v10-architecture","website, social","1:1","","dark-premium-glass:cyberpunk-neon","B","gemini-image-tool","SUBJECT: Detailed ACOS v10 Autonomous Intelligence Architecture showing Self-Modify Gate and Experience Replay. STYLE: dark-premium-glass:cyberpunk-neon","generated","frankx/generated/acos-v10-architecture.png","8","Auto-generated and logged by sovereign loop.","2026-07-02","1"
"FrankX","frankx.ai-vercel-website","Generated image for mcp-doctor-optimization","website, social","1:1","","dark-premium-glass:cyberpunk-neon","B","gemini-image-tool","SUBJECT: MCP Doctor optimization visualization showing diagnostics, pruning duplicates and fixing broken servers. STYLE: dark-premium-glass:cyberpunk-neon","generated","frankx/generated/mcp-doctor-optimization.png","8","Auto-generated and logged by sovereign loop.","2026-07-02","1"
"FrankX","frankx.ai-vercel-website","Generated image for willison-ai-engineering","website, social","1:1","","dark-premium-glass:holographic-command","B","gemini-image-tool","SUBJECT: Simon Willison's pragmatic AI engineering principles showing strict boundaries, constraints, and sandbox isolation. STYLE: dark-premium-glass:holographic-command","generated","frankx/generated/willison-ai-engineering.png","8","Auto-generated and logged by sovereign loop.","2026-07-02","1"
"FrankX","frankx.ai-vercel-website","Generated image for claude-code-mastery","website, social","1:1","","dark-premium-glass:holographic-command","B","gemini-image-tool","SUBJECT: Claude Code Mastery visualization showcasing CLAUDE.md configuration and MCP tool integrations. STYLE: dark-premium-glass:holographic-command","generated","frankx/generated/claude-code-mastery.png","9","Auto-generated and logged by sovereign loop.","2026-07-02","1"
"FrankX","frankx.ai-vercel-website","Generated image for agentic-roadmap-2026","website, social","1:1","","dark-premium-glass:cyberpunk-neon","B","gemini-image-tool","SUBJECT: 2026 Agentic AI Roadmap showing multi-tier orchestration, market projections, and framework components. STYLE: dark-premium-glass:cyberpunk-neon","generated","frankx/generated/agentic-roadmap-2026.png","9","Auto-generated and logged by sovereign loop.","2026-07-02","1"
"FrankX","frankx.ai-vercel-website","Generated image for hero-ai-doesnt-have-to-be-soulless","website, social","16:9","","dark-premium-glass:cinematic-studio","B","gemini-image-tool","SUBJECT: Widescreen establishing shot representing the union of human soul/creativity and advanced AI. STYLE: dark-premium-glass:cinematic-studio","generated","frankx/generated/ai-doesnt-have-to-be-soulless-hero-v3-pro.png","9","Auto-generated and logged by sovereign loop.","2026-07-02","1"
"FrankX","frankx.ai-vercel-website","Generated image for hero-30-minute-creator-os-quick-start","website, social","16:9","","light-workshop","B","gemini-image-tool","SUBJECT: Clean, approachable educational infographic layout for a 30-minute Creator OS setup. STYLE: light-workshop","generated","frankx/generated/30-minute-creator-os-quick-start-hero-v3-pro.png","8","Auto-generated and logged by sovereign loop.","2026-07-02","1"
"FrankX","frankx.ai-vercel-website","Generated image for hero-suno-music-production-workflow","website, social","16:9","","dark-premium-glass:cinematic-studio","B","gemini-image-tool","SUBJECT: Widescreen cinematic visualization of an AI-assisted music production workflow. STYLE: dark-premium-glass:cinematic-studio","generated","frankx/generated/suno-music-workflow-hero-v3-pro.png","9","Auto-generated and logged by sovereign loop.","2026-07-02","1"
