channel_key,platform,slack_room,primary_asset_ratio,dimensions,primary_formats,copy_limit,hashtag_guidance,approval_gate,source,notes
social-command,Cross-platform,#social-command,mixed,mixed,"calendar,campaign brief,asset routing",n/a,n/a,#social-approvals,agentic-ops-hub,"Planning room, not a brand owner."
social-approvals,Approval,#social-approvals,mixed,mixed,"approval packet,asset contact sheet,caption set",n/a,n/a,#social-approvals,agentic-ops-hub,"Required before publishing or scheduling."
x,X / Twitter,#social-x,1:1,1200x1200,"single image,thread image,quote card",280,"1-2 max",#social-approvals,agentic-creator-os,"16:9 can also work for link/news visuals when the surface requires it."
linkedin,LinkedIn,#social-linkedin,1:1,1200x1200,"single image,carousel cover,document slide",3000,"3-5 max",#social-approvals,agentic-creator-os,"Use proof-led professional framing. Prefer exact text overlays."
instagram-feed,Instagram Feed,#social-instagram,1:1,1080x1080,"feed image,carousel",2200,"5-10",#social-approvals,agentic-creator-os,"Also export 4:5 1080x1350 when the design benefits from more vertical space."
instagram-stories,Instagram Stories,#social-instagram,9:16,1080x1920,"story frame,story sequence",n/a,"0-3",#social-approvals,agentic-creator-os,"Design with safe zones and avoid tiny text."
instagram-reels,Instagram Reels,#social-instagram,9:16,1080x1920,"cover frame,short video,caption overlay",2200,"5-10",#social-approvals,agentic-creator-os,"Use deterministic overlays for captions and labels."
youtube-thumb,YouTube Thumbnail,#social-youtube,16:9,1280x720,"thumbnail,series card",n/a,n/a,#social-approvals,agentic-creator-os,"Big first read, no generated microtext."
youtube-shorts,YouTube Shorts,#social-youtube,9:16,1080x1920,"shorts cover,short video source frame",n/a,n/a,#social-approvals,agentic-creator-os,"Use poster frame plus motion prompt when video is involved."
tiktok,TikTok,#social-tiktok,9:16,1080x1920,"cover frame,short video source frame",2200,"3-5",#social-approvals,agentic-creator-os,"Generated imagery should not contain claims; overlays should be composed exactly."
threads,Threads,#social-threads,1:1,1200x1200,"single image,thread card,quote card",500,"1-3",#social-approvals,agentic-ops-hub,"Specs may change; verify before high-volume publishing."
bluesky,Bluesky,#social-bluesky,1:1,1200x1200,"single image,thread card",300,"0-2",#social-approvals,agentic-ops-hub,"Specs may change; verify before high-volume publishing."
farcaster,Farcaster,#social-farcaster,1.91:1,1200x630,"frame image,link card,cast image",320,"0-2",#social-approvals,agentic-ops-hub,"Use frame-safe layouts when building interactive distribution."
syndication,Syndication,#social-syndication,mixed,mixed,"RSS,newsletter,blog OG,partner repost",varies,varies,#social-approvals,agentic-ops-hub,"Adapt from the approved source asset, do not create a new off-brand variant."
newsletter,Newsletter,email / CRM,16:9,1200x675,"header,section graphic,OG image",varies,none,brand owner,derived,"Use only owned/licensed/generated-inspected assets."
website-og,Website Open Graph,repo-specific,1.91:1,1200x630,"OG image,share card",n/a,n/a,repo owner,derived,"Exact brand/title text must be code-rendered or designed, not left to image generation."
